feature,mean_importance,std_importance
answer_n_chunks,0.9793988384039102,0.15056808664762353
answer_curvature_abs_mean,0.6599812480074323,0.07753003307777434
answer_traj_t10,0.5680549453786439,0.08374095588453055
answer_std,0.5396821061494474,0.16446602776974198
answer_traj_t09,0.48316470651131693,0.16211834990034626
answer_traj_t05,0.4764156577194266,0.20873359165694974
answer_zero_crossings,0.42032775237682285,0.11201010650112292
answer_traj_t04,0.37154547768659457,0.19841453365117598
answer_traj_t06,0.3217178536779572,0.1742151257293194
answer_max,0.31651819874634485,0.2408160313864218
answer_total_variation,0.30439681226216353,0.16936763038070077
answer_negative_mass,0.2823320181095065,0.11191839393629018
answer_traj_t12,0.2691748423339999,0.16306908177084597
answer_max_drop,0.2349263451428813,0.18819611462596747
answer_max_rise,0.22941872593754642,0.11799486716777523
answer_time_negative,0.21015482653511822,0.16465500963214003
answer_time_positive,0.21015482653511786,0.16465500963214028
answer_peak_pos,0.2017968798555419,0.11615312635265466
answer_range,0.2012857449866968,0.05297900953563541
answer_traj_t14,0.2009260882032758,0.10104644543713048
answer_traj_t03,0.19550062250170314,0.13364328964262204
answer_traj_t07,0.1922852710035931,0.14137519574227084
answer_traj_t17,0.18595514901303165,0.13019072731353373
answer_traj_t15,0.17282091044900266,0.15900837520800193
answer_min,0.1539063031436187,0.17583263795481677
answer_monotonicity,0.15054792131493752,0.0660318666545842
answer_direction_changes,0.14869992845061494,0.1372917309644759
answer_fall_from_peak,0.14546383498972656,0.05549337600545987
answer_traj_t13,0.1365946369233646,0.08767734910133214
answer_trough_pos,0.1287123345948749,0.04652873062127126
answer_start,0.11713547352591683,0.10650929124850345
answer_positive_mass,0.11683809820643451,0.11407712660902021
answer_max_drop_pos,0.11525108955206609,0.06423119004665527
answer_traj_t11,0.11164292834404481,0.07131815292497667
answer_early_mean,0.10866130713476856,0.035877334566412386
answer_late_mean,0.10716373667885581,0.04197482021884774
answer_traj_t18,0.10459750333797499,0.09099253693160989
answer_end,0.09264891185680055,0.08492928125725621
answer_traj_t01,0.08625229071460003,0.054393611244060204
answer_end_minus_start,0.08400096029768088,0.031938461299510286
answer_traj_t16,0.0764240923898582,0.09388917781045059
answer_max_rise_pos,0.06560171374437586,0.05731013456265023
answer_late_minus_early,0.06069217954728549,0.05115817081394761
answer_traj_t02,0.058062268427286234,0.07726617610985179
answer_mid_mean,0.05346495237182488,0.02483566474728124
answer_traj_t08,0.0525717321136729,0.034780982240065754
answer_rebound_from_trough,0.046289141708353784,0.036359625498283525
