feature,mean_importance,std_importance
answer_rebound_from_trough,115.60524335584532,76.53973737207787
reasoning_n_chunks,104.46754447454978,83.0291122128662
reasoning_monotonicity,74.82769315832996,46.1467760970432
reasoning_max_rise,66.37007978823546,23.801418086533335
reasoning_traj_t18,64.34055720627353,45.03134976024782
reasoning_traj_t03,60.04246430162003,29.604960286668696
reasoning_traj_t06,57.91749979017682,44.175084148707725
answer_end,53.71733714156479,49.29142045160985
answer_start,49.71261712290162,68.65066782417355
answer_max_rise,49.053915311354146,88.78002313327691
reasoning_range,38.705481785008544,47.92161810981077
reasoning_total_variation,37.836403928615894,53.19193081667717
reasoning_traj_t17,28.51939203696013,25.365788554675515
answer_max_drop_pos,27.633215151458273,20.6009795710061
reasoning_traj_t12,26.536494098103823,39.72975029613457
reasoning_max,25.854214275623196,20.771211279639346
answer_end_minus_start,25.66615152967352,26.256951699963803
reasoning_traj_t04,25.44734782807768,29.45249434797792
reasoning_start,25.25487390834594,12.467104480971802
reasoning_traj_t14,24.101276188978563,40.263177825812186
reasoning_traj_t10,22.682610290044092,32.31729041588293
answer_max_rise_pos,22.444631021056104,27.998923551456105
reasoning_max_drop_pos,22.14758609786324,24.806276695584184
answer_negative_mass,21.267717876615308,26.618634755887587
reasoning_traj_t05,20.74282047519178,22.662574430116486
reasoning_positive_mass,20.349929092422574,7.655442349365266
reasoning_rebound_from_trough,18.796988991269867,21.978892419606016
answer_traj_t07,18.736586364470458,21.32544936693194
answer_traj_t10,18.69559847267242,23.652937975157563
reasoning_late_minus_early,17.174740681542485,22.17389386655873
answer_max_drop,16.62604048902986,30.252058189206732
answer_traj_t11,16.55551526741104,14.740679727293875
reasoning_peak_pos,16.54196469090234,16.92362146030882
answer_trough_pos,15.707266656901178,14.773519267932421
answer_traj_t13,15.003752447327733,16.22441082794566
reasoning_traj_t08,14.716207531897732,14.51267055040135
answer_traj_t01,14.644446349119368,8.298974174019266
reasoning_zero_crossings,14.509461145257882,21.01086523958952
reasoning_min,14.375372083880928,22.72938301783913
reasoning_early_mean,14.359177055881478,9.726914003117935
reasoning_fall_from_peak,13.763164551190957,13.243847025503433
reasoning_max_drop,13.355118202623629,13.327206638793234
answer_start_minus_reasoning_end,12.957928137641957,9.690135998726468
answer_curvature_abs_mean,12.612510303423594,10.550571131178188
answer_traj_t18,12.268374601311471,17.151670075849253
answer_positive_mass,12.11988963802882,15.78847088947427
answer_traj_t14,11.423659392949716,16.981703652475044
answer_traj_t05,11.306061795196902,6.427822101868727
answer_traj_t15,9.623183703256446,11.85940064198728
answer_traj_t04,9.194415597348435,15.44496847860915
reasoning_traj_t11,9.161951792446233,13.617432634052834
reasoning_traj_t13,8.497960417961457,4.650472958677859
total_n_chunks,7.775276603855218,9.550301928820694
answer_total_variation,7.616405006412019,11.499208269475634
reasoning_traj_t02,7.615343628662326,10.373959147744303
reasoning_traj_t15,7.186170536160792,7.207068488232833
answer_max,6.909383058921793,6.4810669562829
reasoning_traj_t16,6.87689181673358,7.5471091286898995
answer_late_mean,6.653565089590383,1.8639299449370492
reasoning_direction_changes,6.5749526669755225,12.771336542983473
answer_minus_reasoning_mean,6.535936090453939,6.557170939991093
reasoning_trough_pos,6.508280075444818,10.524583574324732
answer_traj_t06,6.367465157342273,8.50739179690074
reasoning_curvature_abs_mean,6.26265927231737,8.746910043251377
reasoning_traj_t01,6.245295579398613,7.937124300660693
answer_traj_t02,6.0937259889527855,10.227736925378625
reasoning_time_positive,6.040180279246653,8.997336169907578
answer_std,5.984048017380569,9.411627632383611
answer_mid_mean,5.722982078305949,8.375569492323036
reasoning_traj_t07,5.53203810521328,3.4552083584741675
answer_traj_t17,5.486753682633037,5.149540716903093
reasoning_std,5.099313843800985,6.677164001624788
reasoning_end,4.937799658896444,8.999139247144052
reasoning_late_mean,4.561469983098549,4.3531123079660885
answer_late_minus_early,4.438529872666716,4.444711072106397
answer_early_mean,4.382747150820956,1.2419766853283463
answer_traj_t08,4.378174162379576,8.918877736559894
answer_traj_t09,4.0004151999753805,6.0825382029182125
reasoning_negative_mass,3.967026130850563,4.302134445106548
reasoning_traj_t09,3.768332198039167,4.331866357432923
answer_monotonicity,3.7190577443883606,3.31032138673261
answer_n_chunks,3.4850702146943475,6.482732901726015
answer_fall_from_peak,3.2520391996396647,3.152285980808129
answer_end_minus_reasoning_end,3.2026397870212806,1.0214666430271395
answer_peak_pos,2.9235907626962017,4.9321788451402995
reasoning_max_rise_pos,2.49337272792941,2.994065293580529
reasoning_mid_mean,2.060002931290101,2.4592175911480254
reasoning_end_minus_start,2.059686890475322,2.08641663765153
answer_traj_t12,1.7452517778423822,1.4104395954696158
answer_traj_t03,1.6398831945936636,2.411795498992774
answer_traj_t16,1.3652119080546994,1.4908716795143377
answer_range,1.3498160170391733,2.2830382100755027
answer_direction_changes,1.2130747254901153,2.50353005673994
answer_min,1.1519452044880374,1.9150198805587921
reasoning_time_negative,0.9967672823228728,1.3858157167430183
answer_time_negative,0.851412010192871,1.9038151316510037
answer_range_minus_reasoning_range,0.5168715684826595,0.9924588142498145
answer_time_positive,0.04695172253269185,0.055634146830581134
answer_zero_crossings,0.0011596955009473453,0.0016704797351614433
