feature,mean_importance,std_importance
answer_direction_changes,340.3533405944865,227.7143762685088
answer_monotonicity,144.1969096438004,132.47780824473938
answer_n_chunks,140.7171168988755,89.71548480312197
answer_max_drop,55.565598474111724,84.3639778063668
answer_total_variation,54.67109165996661,56.380085056564575
reasoning_traj_t10,50.45786365491256,46.08977763764667
reasoning_traj_t17,43.15717578168902,36.07709130966385
answer_max_rise,42.25367782655174,41.08855079879399
reasoning_start,41.49878219343319,26.206769345444663
answer_end_minus_reasoning_end,38.00442761422588,34.76819252281239
reasoning_negative_mass,35.56782097644202,23.111094423561873
reasoning_traj_t13,33.20506524370283,18.00862162821736
reasoning_late_mean,32.85601354492553,25.303067033961813
answer_minus_reasoning_mean,31.967067184877475,17.937932780956626
reasoning_total_variation,31.639873766422703,27.801234201703124
answer_start,29.060248966248416,31.515413349861
answer_end_minus_start,28.63788165277216,29.301632832242152
answer_range_minus_reasoning_range,26.13660791552089,23.291559837449565
reasoning_n_chunks,25.87938244428296,20.085343501332723
reasoning_trough_pos,20.53702415726931,20.83542800259622
reasoning_traj_t03,19.9170580888835,11.249110580266349
total_n_chunks,19.47386301398415,14.881622203644403
answer_early_mean,16.34452032479434,17.74216624855281
reasoning_traj_t05,15.863448754302215,14.109043257556133
reasoning_max_rise_pos,15.756284719347377,11.303483337285284
answer_end,15.392286423798254,27.28734182293169
reasoning_traj_t02,14.766029058673425,18.969924989165104
answer_negative_mass,14.490717879228507,21.183055094680924
answer_max_drop_pos,14.042085102940039,9.816028489500441
reasoning_monotonicity,13.83200340199692,13.030995076844466
answer_traj_t05,12.917853239436738,12.545184183181568
answer_mid_mean,12.875328327587505,17.493048725066256
answer_curvature_abs_mean,12.826061630709185,19.373119361038235
reasoning_mid_mean,12.37610846503082,11.3004768008313
reasoning_late_minus_early,11.910379059260588,8.907350768284061
reasoning_traj_t07,10.386128800107107,9.075281892789032
reasoning_fall_from_peak,10.251212802210132,12.474976585415478
answer_min,10.152796002156833,9.507539120050208
reasoning_std,9.594446353323699,5.943528714175658
answer_traj_t01,9.46527531399368,12.619883216085787
answer_traj_t10,9.259942570445247,15.043642412177917
answer_std,9.16726298654022,7.13052928912953
reasoning_curvature_abs_mean,9.154371282545558,5.402266326755866
answer_zero_crossings,8.432949106594208,11.553629240362323
answer_traj_t08,7.521922014782726,12.701180633374179
reasoning_positive_mass,7.316158603209322,10.27258530760289
reasoning_traj_t14,6.852947335199291,2.517919383408379
reasoning_max_drop,6.428702573479005,12.441738781711507
reasoning_end_minus_start,6.364489369569802,5.402690329278806
reasoning_traj_t18,6.139671401280607,4.854593561041921
answer_traj_t07,6.060886656141124,7.642497167231415
reasoning_traj_t04,6.039207994624954,7.154763749956033
answer_start_minus_reasoning_end,5.929575866988943,6.237358191934293
answer_traj_t09,5.839004005582408,7.520666992560755
reasoning_end,5.774143955348434,6.978208082894388
answer_max_rise_pos,5.651612420815858,9.793681683848957
reasoning_range,5.590372848757012,7.605029523542909
reasoning_max,5.4784545412415895,4.86442521041806
reasoning_peak_pos,5.439799509168759,5.553801972518885
reasoning_min,5.234352909467118,3.8706332108632986
reasoning_traj_t12,5.118818568746444,3.961378186341924
reasoning_rebound_from_trough,5.02961073628934,6.26184835146722
reasoning_time_positive,4.954850702422391,8.870460406764847
reasoning_traj_t15,4.758347189985239,1.61104491454619
answer_max,4.1979043800520435,8.237614903824824
answer_range,4.112536186887995,6.212182029824651
answer_rebound_from_trough,3.8816848986959216,5.5420510150494
answer_traj_t15,3.821875037841194,4.586927038149536
reasoning_early_mean,3.7944402088346907,7.162940374364927
reasoning_traj_t09,3.772084408757928,4.785742649523651
reasoning_time_negative,3.749382231572112,5.4804071420374
reasoning_traj_t11,3.743023575525379,3.0806968829943777
reasoning_traj_t01,3.710463957361597,7.000216030028347
reasoning_traj_t06,3.628186758419408,6.325372988129453
answer_traj_t04,3.3069565768977753,4.384363602368058
reasoning_traj_t08,3.2218924075970277,1.9229550984515502
reasoning_zero_crossings,3.0980430662017207,3.4270613608074614
answer_traj_t06,2.678372465302153,2.364378649056167
reasoning_max_drop_pos,2.347224101788353,3.5555524973439834
reasoning_max_rise,1.9772291950294512,1.1832124979950993
answer_late_mean,1.8753010105889962,2.4512757719554594
answer_traj_t14,1.5780383191613165,2.4667052862497205
answer_traj_t02,1.416177492509695,2.454590944020871
answer_late_minus_early,1.3750926193553221,2.415259851033105
answer_traj_t03,0.846205753959681,0.789836951082731
reasoning_direction_changes,0.818497350158232,1.3348401419394602
answer_traj_t13,0.7766228290824742,0.7444567396933933
reasoning_traj_t16,0.6580359849266084,1.0162176538730139
answer_traj_t17,0.5587948466092342,0.8268356665840761
answer_traj_t16,0.5085209015054921,0.9831258069225648
answer_fall_from_peak,0.4765903903220085,1.0064459309788751
answer_positive_mass,0.42785446611619415,0.3700389507742665
answer_traj_t18,0.4130350271254029,0.8922312214036606
answer_traj_t12,0.28280123882468944,0.3450976252162382
answer_traj_t11,0.08659834932569851,0.15800552086402475
answer_trough_pos,0.030548273546234333,0.05394326544821598
answer_time_positive,0.007504382591147124,0.013093467851700598
answer_peak_pos,2.27666361752199e-05,3.670881932781604e-05
answer_time_negative,0.0,0.0
