feature,mean_importance,std_importance
reasoning_curvature_abs_mean,274.6492893943004,49.16022462072751
reasoning_total_variation,224.69765482061567,69.94741484535065
reasoning_traj_t06,209.2077007376127,53.19242139562158
reasoning_mid_mean,162.6242768480012,51.75004368834858
reasoning_traj_t14,142.03114070471247,44.62716635959585
reasoning_traj_t12,140.81442002080604,59.75557784539449
reasoning_max_drop,139.04486625512956,96.255675883734
reasoning_traj_t11,136.38691213082114,64.95164629936103
reasoning_max_rise,133.9521169823637,43.37491081817568
reasoning_traj_t09,131.04552086859405,64.68569190689689
reasoning_positive_mass,130.03461945497526,28.419776214031096
reasoning_traj_t15,123.23928441446802,31.363811147460805
reasoning_traj_t05,115.30753237778204,26.897136690797712
reasoning_traj_t13,111.79492247156706,28.897952537799696
reasoning_min,110.26214614827038,44.64898723085464
reasoning_end,107.75752874582608,28.024676437055664
reasoning_traj_t16,105.21365438689854,43.9074217708683
reasoning_traj_t08,98.41220325360975,22.33324368620546
reasoning_max_rise_pos,97.48170944087241,26.43330394982398
reasoning_traj_t04,97.14361620986139,18.17871448537031
reasoning_traj_t02,95.8302637212876,29.063363776162895
reasoning_traj_t18,95.15631238428992,17.04126124315267
reasoning_traj_t03,92.83207154388913,38.09071324151331
reasoning_late_mean,89.24244350296622,33.197793776268114
reasoning_start,88.39388291701933,24.48965435272588
reasoning_peak_pos,80.82951683905756,33.78384517740562
reasoning_max,75.80473099719121,22.47229249378381
reasoning_negative_mass,74.44976722330624,4.444105998853089
reasoning_traj_t17,74.31067813309963,19.78693720127701
reasoning_rebound_from_trough,73.99099130171757,22.553902714082465
reasoning_monotonicity,70.09498118592964,16.53717365314705
reasoning_traj_t07,68.98414366629954,16.6914220507566
reasoning_traj_t01,67.45699200986721,32.456042800227216
reasoning_traj_t10,65.85568380027226,21.934182303342677
reasoning_early_mean,65.83879869482234,15.264066075459233
reasoning_n_chunks,64.80448557004354,30.175440329381345
reasoning_max_drop_pos,61.56656968239213,19.147945689341547
reasoning_range,54.6307288314499,18.65249020733788
reasoning_late_minus_early,53.656003656945884,18.4637602737039
reasoning_end_minus_start,52.08065285081502,14.1145573260523
reasoning_fall_from_peak,51.98171151208224,14.53693300413168
reasoning_std,47.66612832281514,17.47162978568526
reasoning_trough_pos,36.76365937726176,10.327638743251132
reasoning_direction_changes,33.37622335428481,20.745195197219527
reasoning_time_positive,24.707229886430444,10.272174170080802
reasoning_time_negative,16.025371156842446,7.712650104872293
reasoning_zero_crossings,7.964317171228416,4.569337809565673
