feature,mean_importance,std_importance
reasoning_start,1333.0480101412772,405.5256937490847
reasoning_mid_mean,649.6705809593968,282.31220305017524
reasoning_traj_t18,597.3203965902458,432.0377831661822
reasoning_traj_t04,548.4797530605347,431.1379978871833
reasoning_early_mean,458.3851754005717,454.7309508887495
reasoning_trough_pos,446.86175516553584,296.21552585439366
reasoning_end,362.6521610411436,85.35333307600777
reasoning_traj_t09,333.09943666315394,443.6010344322809
reasoning_n_chunks,251.5023822084686,83.94740136456834
reasoning_traj_t11,241.35114971619032,240.26960827605728
reasoning_traj_t12,185.2912579118992,201.16134914840816
reasoning_traj_t17,133.34543434844267,143.8163244207154
reasoning_rebound_from_trough,104.37397320597415,226.34243090202273
reasoning_late_mean,104.3403043664576,194.2184063345827
reasoning_max_drop_pos,103.92069343372081,102.05961685323523
reasoning_time_positive,101.58582701850796,104.81666182242012
reasoning_traj_t03,100.04946708823203,39.96196764457669
reasoning_traj_t16,98.87107232298688,37.41763640168627
reasoning_traj_t10,76.2980326533369,64.59395284417467
reasoning_range,70.9942699780532,63.03192759065679
reasoning_traj_t14,70.13519106702805,61.201571486088795
reasoning_end_minus_start,50.25658608759666,61.181853562968044
reasoning_max,44.54799816852311,17.879138888655216
reasoning_max_drop,38.23513553669034,38.20010170188909
reasoning_traj_t02,36.873036974044055,66.17328147176646
reasoning_traj_t08,32.56988116281539,67.67547910993216
reasoning_fall_from_peak,32.366189421436104,22.248165362828072
reasoning_max_rise,32.23198190311144,50.36753205733981
reasoning_peak_pos,27.739892047586515,52.41741247050316
reasoning_min,24.301417680667356,20.110688798188093
reasoning_traj_t15,19.863966323072354,42.397747404742375
reasoning_std,16.834128810447584,12.405517258976623
reasoning_late_minus_early,13.687343703526812,9.259368300188722
reasoning_traj_t01,13.279378903008801,12.436281335521215
reasoning_negative_mass,11.704297682623201,25.17437254463085
reasoning_total_variation,8.7762094542501,12.28188848406854
reasoning_traj_t05,8.151585078153856,8.525552588604063
reasoning_max_rise_pos,7.424161738086232,9.102183792028814
reasoning_traj_t07,5.5588999392232195,1.7720281804374673
reasoning_monotonicity,2.5171305810400555,1.3470734881517963
reasoning_zero_crossings,2.092567477669762,3.6991424752180104
reasoning_time_negative,2.0060076192319682,4.399788726385724
reasoning_traj_t06,1.7553589587452039,1.765445079705996
reasoning_traj_t13,1.251434354982115,1.5050444543980495
reasoning_curvature_abs_mean,1.1678113563306396,2.6054460038049756
reasoning_positive_mass,1.00022918606576,1.005051644162104
reasoning_direction_changes,0.2907554779566991,0.32987820574508525
