feature,mean_importance,std_importance
reasoning_end_minus_start,1454.6767957806587,23.085072297805674
reasoning_fall_from_peak,67.55445860624313,20.978000338804
reasoning_n_chunks,6.232794229973463e-14,1.244303428235597e-14
reasoning_start,1.5520919448623662e-14,5.482632776966433e-15
reasoning_end,1.2967422831780752e-14,1.1171556100178155e-14
reasoning_min,1.07081007224468e-14,8.629718489515824e-15
reasoning_early_mean,9.237061748221817e-15,5.451648066926369e-15
reasoning_std,6.550324503553331e-15,1.0623410977218563e-14
reasoning_total_variation,3.697044200631543e-15,3.886098318153007e-15
reasoning_monotonicity,3.6248865047790324e-15,7.966101030040648e-15
reasoning_mid_mean,2.7533532175374183e-15,1.9943883155887624e-15
reasoning_peak_pos,2.1538323951340737e-15,3.1904191278543453e-15
reasoning_direction_changes,1.6875393785950643e-15,3.53044035652158e-15
reasoning_trough_pos,8.437688157948053e-16,1.7652179590838228e-15
reasoning_curvature_abs_mean,7.10542015782095e-16,1.588820248158493e-15
reasoning_late_minus_early,6.661344024042011e-16,1.2560753683794872e-15
reasoning_time_negative,5.77315798104536e-16,6.586906176467798e-16
reasoning_zero_crossings,5.329076023914909e-16,1.1916176246738031e-15
reasoning_max_rise,4.662935988741609e-16,2.764429295649915e-16
reasoning_range,4.440900039434507e-16,7.6918644996351965e-16
reasoning_max_rise_pos,2.664533988550955e-16,3.9720527511723874e-16
reasoning_late_mean,2.2204480080140037e-16,2.7194806674586156e-16
reasoning_max_drop_pos,8.881779961836516e-17,1.9860263755861937e-16
reasoning_positive_mass,6.661319883603014e-17,9.930109386404884e-17
reasoning_max_drop,4.440900039434507e-17,9.930154369457054e-17
reasoning_negative_mass,0.0,0.0
reasoning_rebound_from_trough,0.0,0.0
reasoning_max,0.0,0.0
reasoning_time_positive,0.0,0.0
